N,a,version,num_qubits,num_gates,gate_types
17947,2,0,33,266898,"{'CNOT': 1260, 'PhaseShift': 6734, 'C_C_PhaseShift': 18273, 'Toffoli': 210, 'ControlledPhaseShift': 212145, 'Hadamard': 27420, 'PauliX': 856}"
17947,5331,1,33,232053,"{'CNOT': 1144, 'PhaseShift': 5806, 'C_C_PhaseShift': 17069, 'Toffoli': 210, 'ControlledPhaseShift': 183376, 'Hadamard': 23708, 'PauliX': 740}"
17947,5331,0,33,267662,"{'CNOT': 1260, 'PhaseShift': 6734, 'C_C_PhaseShift': 19038, 'Toffoli': 210, 'ControlledPhaseShift': 212144, 'Hadamard': 27420, 'PauliX': 856}"
17947,12132,1,33,243662,"{'CNOT': 1182, 'PhaseShift': 6110, 'C_C_PhaseShift': 17657, 'Toffoli': 210, 'ControlledPhaseShift': 192801, 'Hadamard': 24924, 'PauliX': 778}"
17947,12132,0,33,267681,"{'CNOT': 1260, 'PhaseShift': 6734, 'C_C_PhaseShift': 19056, 'Toffoli': 210, 'ControlledPhaseShift': 212145, 'Hadamard': 27420, 'PauliX': 856}"
17947,11643,1,33,249130,"{'CNOT': 1200, 'PhaseShift': 6254, 'C_C_PhaseShift': 17906, 'Toffoli': 210, 'ControlledPhaseShift': 197264, 'Hadamard': 25500, 'PauliX': 796}"
17947,11643,0,33,267563,"{'CNOT': 1260, 'PhaseShift': 6734, 'C_C_PhaseShift': 18939, 'Toffoli': 210, 'ControlledPhaseShift': 212144, 'Hadamard': 27420, 'PauliX': 856}"
17947,6867,1,33,236772,"{'CNOT': 1160, 'PhaseShift': 5934, 'C_C_PhaseShift': 17148, 'Toffoli': 210, 'ControlledPhaseShift': 187344, 'Hadamard': 24220, 'PauliX': 756}"
17947,6867,0,33,267533,"{'CNOT': 1260, 'PhaseShift': 6734, 'C_C_PhaseShift': 18909, 'Toffoli': 210, 'ControlledPhaseShift': 212144, 'Hadamard': 27420, 'PauliX': 856}"
17947,8750,1,33,225669,"{'CNOT': 1124, 'PhaseShift': 5646, 'C_C_PhaseShift': 16484, 'Toffoli': 210, 'ControlledPhaseShift': 178417, 'Hadamard': 23068, 'PauliX': 720}"
17947,8750,0,33,267315,"{'CNOT': 1260, 'PhaseShift': 6734, 'C_C_PhaseShift': 18690, 'Toffoli': 210, 'ControlledPhaseShift': 212145, 'Hadamard': 27420, 'PauliX': 856}"
17947,2341,1,33,237242,"{'CNOT': 1162, 'PhaseShift': 5950, 'C_C_PhaseShift': 17039, 'Toffoli': 210, 'ControlledPhaseShift': 187839, 'Hadamard': 24284, 'PauliX': 758}"
17947,2341,0,33,267538,"{'CNOT': 1260, 'PhaseShift': 6734, 'C_C_PhaseShift': 18915, 'Toffoli': 210, 'ControlledPhaseShift': 212143, 'Hadamard': 27420, 'PauliX': 856}"
17947,5609,1,33,231801,"{'CNOT': 1144, 'PhaseShift': 5806, 'C_C_PhaseShift': 16819, 'Toffoli': 210, 'ControlledPhaseShift': 183374, 'Hadamard': 23708, 'PauliX': 740}"
17947,5609,0,33,267390,"{'CNOT': 1260, 'PhaseShift': 6734, 'C_C_PhaseShift': 18768, 'Toffoli': 210, 'ControlledPhaseShift': 212142, 'Hadamard': 27420, 'PauliX': 856}"
17947,17504,1,33,241013,"{'CNOT': 1174, 'PhaseShift': 6046, 'C_C_PhaseShift': 17328, 'Toffoli': 210, 'ControlledPhaseShift': 190817, 'Hadamard': 24668, 'PauliX': 770}"
17947,17504,0,33,267387,"{'CNOT': 1260, 'PhaseShift': 6734, 'C_C_PhaseShift': 18762, 'Toffoli': 210, 'ControlledPhaseShift': 212145, 'Hadamard': 27420, 'PauliX': 856}"
17947,8023,1,33,237984,"{'CNOT': 1164, 'PhaseShift': 5966, 'C_C_PhaseShift': 17200, 'Toffoli': 210, 'ControlledPhaseShift': 188336, 'Hadamard': 24348, 'PauliX': 760}"
17947,8023,0,33,267416,"{'CNOT': 1260, 'PhaseShift': 6734, 'C_C_PhaseShift': 18792, 'Toffoli': 210, 'ControlledPhaseShift': 212144, 'Hadamard': 27420, 'PauliX': 856}"
67591,2,1,37,346979,"{'CNOT': 1420, 'PhaseShift': 7900, 'C_C_PhaseShift': 22846, 'Toffoli': 272, 'ControlledPhaseShift': 281431, 'Hadamard': 32216, 'PauliX': 894}"
67591,2,0,37,427643,"{'CNOT': 1632, 'PhaseShift': 9808, 'C_C_PhaseShift': 26766, 'Toffoli': 272, 'ControlledPhaseShift': 348211, 'Hadamard': 39848, 'PauliX': 1106}"
67591,21419,1,37,390492,"{'CNOT': 1532, 'PhaseShift': 8908, 'C_C_PhaseShift': 25816, 'Toffoli': 272, 'ControlledPhaseShift': 316710, 'Hadamard': 36248, 'PauliX': 1006}"
67591,21419,0,37,428539,"{'CNOT': 1632, 'PhaseShift': 9808, 'C_C_PhaseShift': 27663, 'Toffoli': 272, 'ControlledPhaseShift': 348210, 'Hadamard': 39848, 'PauliX': 1106}"
67591,60591,1,37,388828,"{'CNOT': 1528, 'PhaseShift': 8872, 'C_C_PhaseShift': 25600, 'Toffoli': 272, 'ControlledPhaseShift': 315450, 'Hadamard': 36104, 'PauliX': 1002}"
67591,60591,0,37,428533,"{'CNOT': 1632, 'PhaseShift': 9808, 'C_C_PhaseShift': 27657, 'Toffoli': 272, 'ControlledPhaseShift': 348210, 'Hadamard': 39848, 'PauliX': 1106}"
67591,49737,1,37,378133,"{'CNOT': 1500, 'PhaseShift': 8620, 'C_C_PhaseShift': 25043, 'Toffoli': 272, 'ControlledPhaseShift': 306628, 'Hadamard': 35096, 'PauliX': 974}"
67591,49737,0,37,428615,"{'CNOT': 1632, 'PhaseShift': 9808, 'C_C_PhaseShift': 27741, 'Toffoli': 272, 'ControlledPhaseShift': 348208, 'Hadamard': 39848, 'PauliX': 1106}"
67591,35384,1,37,385774,"{'CNOT': 1520, 'PhaseShift': 8800, 'C_C_PhaseShift': 25441, 'Toffoli': 272, 'ControlledPhaseShift': 312931, 'Hadamard': 35816, 'PauliX': 994}"
67591,35384,0,37,428564,"{'CNOT': 1632, 'PhaseShift': 9808, 'C_C_PhaseShift': 27687, 'Toffoli': 272, 'ControlledPhaseShift': 348211, 'Hadamard': 39848, 'PauliX': 1106}"
67591,28787,1,37,386049,"{'CNOT': 1520, 'PhaseShift': 8800, 'C_C_PhaseShift': 25717, 'Toffoli': 272, 'ControlledPhaseShift': 312930, 'Hadamard': 35816, 'PauliX': 994}"
67591,28787,0,37,428929,"{'CNOT': 1632, 'PhaseShift': 9808, 'C_C_PhaseShift': 28053, 'Toffoli': 272, 'ControlledPhaseShift': 348210, 'Hadamard': 39848, 'PauliX': 1106}"
67591,42506,1,37,382726,"{'CNOT': 1512, 'PhaseShift': 8728, 'C_C_PhaseShift': 25289, 'Toffoli': 272, 'ControlledPhaseShift': 310411, 'Hadamard': 35528, 'PauliX': 986}"
